anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
tu wien,tu berlin,fie,0.7294901609420776,0.764458417892456
contemporary culture,culture,modern culture and media,0.9131507277488708,0.8928335905075073
corpuscular physics,molecular physics,cosmic physics,0.9111490845680237,0.9082494974136353
rutgers robert wood johnson medical school,rutgers robert wood johnson medical school new brunswick,hudson medical research,0.951057493686676,0.6988250017166138
water research laboratory,water research centre,water laboratory,0.8937708735466003,0.9423751831054688
ecological research,ecological studies,ecosystem research,0.9558292627334595,0.9348135590553284
human genetics and molecular medicine,genetics and molecular medicine,medical and molecular genetics,0.9666914939880371,0.9715057015419006
tocoginecologia,ginecologia,oncoematologia,0.858730673789978,0.8631519079208374
"philosophy, letters and educational sciences","philosophy, letters and education sciences","philosophy, letters and human sciences",0.9969222545623779,0.9724262952804565
finance-accounting,accounting-finance,accounting/finance,0.9765506982803345,0.9823180437088013
uniritter,unirp,unl,0.8243390321731567,0.793053150177002
"etudiants, ecole doctorale, doctoral program in photonics","etudiants, ecole doctorale, doctoral program in electrical engineering",graduate photonics and optoelectronics,0.8970264196395874,0.8104515075683594
kurdish language department,kurdish language,kurdish language and culture,0.910341203212738,0.860907793045044
nyu langone medical center,nyu langone health,linyi people's hospital,0.8573081493377686,0.7958518266677856
moritz law,maurer law,law and finance,0.7856862545013428,0.681553304195404
post graduate diploma in management,graduate management,post graduate program in management,0.8779449462890625,0.9208040237426758
tashkent medical academy,urgench branch of tashkent medical academy,astrakhan state medical academy,0.9612557888031006,0.8694354295730591
psychology and neuropsychology,clinical psychology and neuropsychology,psychiatry psychology and neuroscience,0.9733996987342834,0.9441099166870117
computer science and engieering,computer science and engneering,computer science - science and engineering,0.955279529094696,0.9140119552612305
harold vance petroleum engineering,petroleum engineer,engineering and petroleum,0.7213375568389893,0.694408655166626
gastroenterologist,gastroenterology,gastroenterology and human nutrition,0.9550533890724182,0.8227059841156006
bristol medical school,bristol medical school ths,bristol myers squibb co,0.9914005994796753,0.737484335899353
marketing and international trade,international trade and marketing,international business - marketing,0.9700558185577393,0.9249432682991028
"anatomy, cell biology and physiology","anatomy, cell biology & physiology","anatomy, cell and developmental biology",0.9980165958404541,0.9722704887390137
world economy and international relations,world economy and international affairs,international relations and economy,0.9815918207168579,0.9629648327827454
geographical institute,geography institute,national geographic institute,0.9434847235679626,0.8909515142440796
foscal clinic,ces clinic,health clinic,0.8797074556350708,0.8535177707672119
adults emergency,adult emergency,emergency emergency,0.9293103218078613,0.7998391389846802
"candiolo cancer institute, fpo-irccs",candiolo cancer institute,fralin biomedical research institute at vtc,0.8943436145782471,0.7317057847976685
biosciences and bioengineering,biosciences & bioengineering,life sciences and bioengineering,0.9971723556518555,0.9457970857620239
genomic medicine unit,genomics unit,medical genetics unit,0.8913892507553101,0.9110444784164429
business information systems,business and information systems,information management and information systems,0.977390468120575,0.8886491656303406
architecture and urban-rural planning,architecture and urban planing,architecture and spatial planning,0.9566483497619629,0.9410191178321838
lung health,lung health and immunity,lung diseases,0.911141037940979,0.87823486328125
cancer research uk edinburgh centre,edinburgh cancer research centre,center for cancer research,0.9454512000083923,0.7206699848175049
sustainable food systems and development,sustainable food systems,agriculture and food sustainability,0.955357551574707,0.9019263982772827
government and politics,government & politics,political and government,0.9956404566764832,0.9796413779258728
industrial engineering and systems,industrial systems and engineering,mechanical engineering and industrial systems,0.9946982860565186,0.9550219774246216
secretaria de estado de saúde do distrito federal,secretaria de estado da saúde do distrito federal,secretaria distrital de integración social,0.9934719800949097,0.7876526117324829
fkit,fme,fkf,0.7405955195426941,0.828734278678894
unipe,unip,pnu,0.8439424633979797,0.804650068283081
cryogenic engineering,cryogenic engineering centre,refrigeration and cryogenics,0.9149682521820068,0.8087811470031738
roessingh research and development,research&development,research & developement,0.820229172706604,0.8150824904441833
graduate program in literature,graduate program in literary studies,literary studies program,0.983684241771698,0.9001680612564087
romance-germanic philology,romance and germanic philology,germanic and romance studies,0.9690234065055847,0.869544506072998
organizational behaviour,organizational behavior,leadership and organizational behaviour,0.9943104386329651,0.8703874349594116
english language centre,english language center,centre for english language communication,0.986204206943512,0.9100511074066162
chemical engineering and environmental technology,chemical engineering and environmental technologies,environment and chemical engineering,0.9901577234268188,0.9570966362953186
chemistry and process engineering,chemical & process engineering,chemistry and engineering,0.9716636538505554,0.9651868343353271
plant & soil sciences,plant and soil sciences,plant nutrition and soil science,0.9975473284721375,0.9297952055931091
medical genomics,medical genetics and genomics,medical genetics and applied genomics,0.9640018939971924,0.9352748394012451
phlam,lam,ph,0.8119760751724243,0.8111575245857239
parasitology and tropical medicine,tropical medicine and parasitology,parasitology and tropical veterinary medicine,0.9406483769416809,0.8969679474830627
research center in advanced materials,advanced materials research center,research center for advanced materials,0.980438768863678,0.9943248629570007
biology dept.,biology dept,,0.9688138961791992,
chiapas,anchas,chachapoyas,0.7869506478309631,0.857927143573761
bioxistemas,bromatologia,symbiotic systems science,0.7935891151428223,0.7767062187194824
oil and gas technology,chemical technology of oil and gas processing,oil technology,0.921953558921814,0.947949230670929
master of accounting,masters in accounting,master of finance,0.8309048414230347,0.8554526567459106
clinical oncology and nuclear medicine,clinical and radiation oncology,clinical medicine - nuclear medicine,0.9131909012794495,0.9348628520965576
head and neck surgery,head & neck surgery,,0.9952867031097412,
ent & head and neck surgery,ent and head & neck surgery,otolaryngology/head & neck surgery,0.9970451593399048,0.8906817436218262
english for international business,business english,business foreign language and translation,0.8898815512657166,0.8837757110595703
uin imam bonjol padang,iain palangka raya,moalajat,0.765070915222168,0.7183728218078613
property management,real estate management,construction management and real estate,0.8542520403862,0.791895866394043
degree course in medicine,degree in medicine,medicine degree,0.9334148168563843,0.9351834058761597
