anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
indian management kashipur,indian management rohtak,naveen jindal management,0.887345552444458,0.7378233075141907
horticulture sciences,horticultural sciences,horticulture and plant sciences,0.9890255331993103,0.9685125350952148
international training materials science,applied materials science,graduate program in materials science,0.7750961184501648,0.8142160773277283
engineering product development pillar,engineering product development,product and systems design engineering,0.8856485486030579,0.843829870223999
dicp,ppd,dcp,0.8581045866012573,0.8565350770950317
tamil literature,literature and languages,spanish and latin american literature,0.7018977403640747,0.7333296537399292
graduate in business administration,graduate program in business administration,graduate business administration,0.9575601816177368,0.9571495056152344
biomedical sciences,biomedical science,,0.982131838798523,
operational oceanography,oceanography,marine operations,0.8012946844100952,0.8335720896720886
"law, economics and administration","law, administration and economics","law, economics and management",0.9957982897758484,0.9250182509422302
defense,defence,defens,0.956957221031189,0.9397814273834229
apparel design,fashion design,fashion design and textiles,0.8758511543273926,0.8574731349945068
"sociology, anthropology, and criminal justice","sociology, anthropology and criminal justice",sociology & social anthropology,0.9974079132080078,0.8909757137298584
international & public affairs,international and public affairs,public policy and global affairs,0.9953491687774658,0.9260169267654419
history of republic of turkey,central bank of republic of turkey,congress of republic,0.8070484399795532,0.6131103038787842
pharmaceutical,pharmaceuticals,,0.9836059808731079,
ophthalmology and visual sciences,ophthalmology & visual sciences,molecular medicine & pathology,0.9967507123947144,0.8445022106170654
nephrology and dialysis unit,dialysis unit,dialysis center,0.9466159343719482,0.8780608773231506
arts parana,arts,art and performance,0.821164608001709,0.7964582443237305
english and theatre studies,english and theatre,"english, linguistics and theatre studies",0.905968427658081,0.9598919153213501
math coordination,math,math.,0.9056336879730225,0.9005527496337891
ft,fcm,sft,0.767055869102478,0.7331461310386658
ucl division of psychology and language sciences,division of psychology and language sciences,"cognitive, linguistic and psychological sciences",0.9889419078826904,0.8454089164733887
safety assessment,safety analysis,safety and security management,0.9462629556655884,0.7723383903503418
"medicine, division of rheumatology",division of rheumatology,clinical medicine - section for rheumatology,0.9491864442825317,0.9103515148162842
"state key laboratory of supramolecular structure and materials, chemistry",state key laboratory of supramolecular structure and materials,,0.9777724146842957,
iqs engineering,"engineering,",engineering and ict,0.8146731853485107,0.8464325070381165
edebiyat,hadis,idat,0.7732466459274292,0.8319929242134094
electronics and communications,electronics & communications,"electronics, telecommunication and informatics",0.9962157607078552,0.9475833177566528
interdisciplinary center for marine research and environmental,interdisciplinary center for marine and environmental research,interdisciplinary center of marine sciences,0.9946824908256531,0.9493408203125
"chemistry, biotechnology and bioprocess engineering",chemical engineering and biotechnology,"chemistry, chemical engineering and biotechnology",0.9589186906814575,0.9612687230110168
revival,energies,new energy,0.6269296407699585,0.6547204852104187
cornell public affairs,political science & public administration,"doctoral political science, public policy and international relations",0.7538751363754272,0.7814536094665527
history and international relations department,history department,history & international studies,0.8686995506286621,0.8725390434265137
emergency and disaster medicine,disaster and emergency medicine,trauma and emergency medicine,0.9519081115722656,0.9148590564727783
manufacturing science division,material science and technology division,division of materials and manufacturing science,0.8943929076194763,0.9078369140625
centre for sustainable energy technologies,centre for sustainable technologies,centre for renewable energy systems technology,0.9564208984375,0.9554430246353149
fryske akademy,academy of arts,russian academy of education,0.6944129467010498,0.7773658037185669
medical parasitology and infection biology,infection biology,medical microbiology and parasitology,0.8922709226608276,0.9609731435775757
fundamental chemistry,fundamental and applied chemistry,physical and material chemistry,0.9019725322723389,0.8649640083312988
"juliaca, puno",puno - juliaca,unijuí,0.9667831659317017,0.7347230911254883
pharmacotherapy and outcomes science,pharmacotherapy and translational research,pharmacology and therapeutic,0.8746206760406494,0.874309241771698
machine learning lab,machine learning research,machine learning and data processing,0.9131298065185547,0.8294642567634583
molecular metabolism,metabolism,biochemistry and metabolism,0.8711791038513184,0.8894656896591187
home health,home health care,home hospitalization,0.9483444690704346,0.7910813689231873
interdisciplinary humanities,academic humanities,higher humanities,0.9161580204963684,0.9023531675338745
religious,religion,sacred theology,0.9532676935195923,0.8590536117553711
comprehensive general dentistry,comprehensive dentistry,integrated dentistry,0.9694444537162781,0.8758862018585205
restorative dentistry,"restorative dentistry, dentistry",operative dentistry and periodontology,0.9792206287384033,0.8632134199142456
biology and environment,biology and environmental,biological environment,0.9814304113388062,0.9358628392219543
capital market,capital markets,"finance, banking, insurance and stock market",0.9579745531082153,0.7364903092384338
robert m. buchan mining,mcb,mccb,0.5886316299438477,0.7183640003204346
environmental futures research institute,environment institute,environmental research institute,0.8034896850585938,0.867473840713501
southern high school,high school,highschool,0.8535584211349487,0.84747314453125
computer engineering and information technology,computer engineering & information technology,computer science & information engineering,0.9971721172332764,0.9705468416213989
"national geophysics and volcanology, milan section","national geophysics and volcanology, catania section",national geology,0.8783906102180481,0.7388620972633362
transitional,transitional year,transform,0.8271197080612183,0.8139536380767822
international school for strangeness nuclear physics snp school 2022,12th international school for strangeness nuclear physics snp school 2023,science and technology school,0.8613719940185547,0.7066468596458435
paulista law,paulist law,repsol spain,0.8916817903518677,0.6500205397605896
biology and wildlife,wildlife biology,animal and environmental biology,0.9293026328086853,0.9105442762374878
digital contents,digital content,digital resources,0.92328280210495,0.8575069904327393
dartmouth–hitchcock medical center,dartmouth-hitchcock medical center,portsmouth hospitals nhs trust,0.9946392774581909,0.7353188395500183
estomatherapy,nursing stomatherapy,anethesiology,0.8700547218322754,0.814049482345581
"materials, chemical, and computational science",materials and science,science of materials,0.9362584352493286,0.9296287894248962
overseas education,international education,education and international studies,0.9267573356628418,0.8727017045021057
quality management office,quality management department,business and quality management,0.9197902679443359,0.8348305225372314
"departamento de historia medieval, moderna y contemporánea","departamento de historia antigua, medieval, paleografía y diplomática",departamento de estudos romanic,0.9486038684844971,0.7630596160888672
language and arabic literature,arabic language & literature,arabic language and eloquence,0.9877272844314575,0.8838980197906494
electronic engineering school,electromechanical engineering school,electronics engineering education,0.9644065499305725,0.9250754117965698
center for materials technologies,,center for materials science,,0.9444683194160461
sep,sept,sepuluh nopember technology,0.929486870765686,0.783411979675293
malay language,malay studies,malayalam,0.7789938449859619,0.7814280390739441
electrical and electrical engineering,electrical engineering,electrical engineering isy,0.9798647165298462,0.9689335823059082
laboratory medicine & pathobiology,laboratory medicine and pathobiology,pathology and laboratories,0.9981979131698608,0.9185829162597656
biophysics and computational biology,computational biophysics,"biophysics, molecular biology and bioinformatics",0.9475107192993164,0.9383090138435364
acoustic engineering,acoustical engineering,technical acoustics,0.9619709253311157,0.8670248985290527
"psychology,",psychology,psychology/sociology,0.9784801006317139,0.9431292414665222
iip,imip,aip,0.9036622643470764,0.8888481855392456
federal office of public health,departement of health,public health office,0.8522462844848633,0.8992599248886108
"economics, administration and education",economics and administration,economics & administration,0.907828688621521,0.9012185335159302
doctoral study,doctoral studies,doctoral studies and research,0.9670101404190063,0.9350763559341431
shenyang engineering,xinjiang engineering,gokongwei engineering,0.8604332208633423,0.846947431564331
centre for microbiology and environmental systems science,centre for molecular biology,centre of biotechnology and microbiology,0.8113453388214111,0.8992464542388916
couple and family therapy,family therapy,therapy and family medicine,0.8477836847305298,0.6952344179153442
polar geophysical institute,geophysical institute,laboratory of geo-information science and remote sensing,0.812030553817749,0.8162918090820312
"physiology, anatomy and cell biology","anatomy, physiology and cell biology",physiology and cell biology,0.9550310373306274,0.9681119918823242
oncology referral center,cancer center,oncology center,0.8417782783508301,0.8972874879837036
physiology & biochemistry,physiology and biochemistry,physiology and cellular biophysics,0.9967917799949646,0.9211435317993164
sanmartin,san martin de porres,central saint martins,0.7988599538803101,0.7531291246414185
national neurological sciences,neurosciences,national mental health and neuro sciences,0.8319185972213745,0.8789929151535034
acis,ac,icis,0.864393949508667,0.8783061504364014
"astronomy, science",astronomical science,astronomy and planetary science,0.9580628871917725,0.9573951959609985
u. s. geological survey,u.s. geological survey,geophysical survey,0.9945831298828125,0.8416181206703186
"escuela superior de ingeniería, ciencia y tecnología",escuela superior de ingeniería y tecnología,escuela superior de ingeniería mecánica y eléctrica,0.9865477085113525,0.934353768825531
montpellier molecular genetics institute,molecular genetics montpellier,marqués de valdecilla research institute,0.899527907371521,0.7394243478775024
agriculture mechanization,agricultural mechanization,agricultural engineering and mechanization,0.9928327202796936,0.918628454208374
lenguas romances,romance languages,romance languages ​​and literatures,0.7684030532836914,0.7338957786560059
transport research,transport studies,transportation research group,0.9148741960525513,0.8803331851959229
english language teaching unit,english language teaching,english language and teaching,0.9304293394088745,0.9260815382003784
allergy/immunology,allergy and immunology,allergology and immunology,0.9796250462532043,0.9546272158622742
accounting and taxes,accounting and tax,accounting and tax practices,0.9914900660514832,0.9451084733009338
health & biomedical sciences,health and biomedical sciences,biomedical sciences and health,0.9972915649414062,0.9745117425918579
general courses department,general courses,general studies department,0.900234580039978,0.8547500371932983
mathematics and applied physics,mathematics and physics,mathematics and mathematical physics,0.9702551364898682,0.9685540199279785
lab of molecular biology,molecular and cellular biology laboratory,molecular genetics and microbiology laboratory,0.9534136056900024,0.9248306751251221
counseling & special education,counseling and special education,special education and counselling,0.9971210360527039,0.9663204550743103
cis-july,cies-july,cemb,0.9652585387229919,0.6651126146316528
national oceanography centre,national oceanography center,national marine science centre,0.9736394286155701,0.8959431052207947
sponsorship,it support,sponsored programs,0.6552537083625793,0.7504661083221436
joint research center,joint research centre,joint institute,0.9922970533370972,0.868155837059021
economic research,research economics,"statistical, social and economic research",0.9539178609848022,0.8640217781066895
building science,construction science,building materials science,0.898948609828949,0.8731558918952942
beams department,beams,extreme light infrastructure beamlines,0.8801047801971436,0.7958534955978394
"international relations, political science and sociology",international relations and social sciences,"sociology, politics and international studies",0.9309942722320557,0.9564427733421326
instituto superior tecnologico consulting group,instituto superior tecnologico consulting group ecuador,instituto superior tecnico,0.8594067692756653,0.8463324904441833
puc-rio,puc,ucibio,0.8071006536483765,0.7764285206794739
technical research institute,technology research institute,technology and research institute,0.9547988772392273,0.9409927129745483
textiles and clothing,textiles & clothing,fashion design and textiles,0.9928258657455444,0.8473246097564697
market research,marketing and market research,research programme marketing,0.9354348182678223,0.8269761800765991
poi,iau,kpo,0.7636775374412537,0.7857188582420349
cultural resource management,cultural resources,cultural management,0.8670897483825684,0.8798497915267944
maternal and child department,department maternal and child,maternity department,0.9496488571166992,0.840925931930542
shupyk national medical academy of postgraduate education,kharkiv medical academy of postgraduate education,astrakhan state medical academy,0.8473291993141174,0.8381752371788025
medicines discovery institute,molecular and clinical sciences research institute,biomedicine discovery institute,0.8975622057914734,0.9495291113853455
engineering research institute,engineering technology research institute,engineering and technical institute,0.964054524898529,0.9024390578269958
ecohydrology,ecohydrology and biogeochemistry,ecology and hidrology,0.9047766923904419,0.8671664595603943
oncology referral center,cancer center,oncology center,0.8417782783508301,0.8972874879837036
amity architecture & planning,amity architecture and planning,architecture + planning,0.9966826438903809,0.790245771408081
"genetics, bioinformatics, and computational biology","genetics, genomics and bioinformatics",genetics and computational biology,0.946347177028656,0.9440754652023315
galician and latin philology,greek and latin philology,classical philology and new latin studies,0.8589891195297241,0.8038763999938965
criminology and forensic sciences,criminology and forensic science,criminal and forensic sciences,0.9929276704788208,0.9705150127410889
finance & accounting,finance and accounting,accounting and financial,0.9957841634750366,0.935208797454834
anesthesiologist,anesthesiology,anaesthesia and perioperative medicine,0.9237774610519409,0.8174189329147339
spring high energy physics hepss2025,spring high energy physics hepss2024,asia-europe-pacific high-energy physics aepshep2024,0.9336161017417908,0.8043559193611145
"economics, management, industrial engineering and tourism degeit","economics, management, industrial engineering and tourism",engineering economics and management,0.9544966220855713,0.85357666015625
computing and telecommunications,information technology and telecommunications,computing & communications,0.9339986443519592,0.9831972718238831
mining and minerals engineering,mining and mineral engineering,mining and mineral processing engineering,0.9920752048492432,0.9788957834243774
astronomical czech academy of sciences,czech academy of sciences,slovak academy of sciences,0.9243154525756836,0.7538522481918335
multidisciplinary research for advanced materials,multidisciplinary research for advanced materials imram,multidisciplinary research for science and technology,0.9612040519714355,0.916595458984375
herzog august bibliothek,herzog august library,bibliotheca hertziana – max planck art history,0.9005914926528931,0.7754558324813843
ucl qatar,yazd,uqam,0.7548873424530029,0.8074908256530762
biocemistry,biohemistry,biochemistry-microbiology,0.9297696352005005,0.8714296817779541
bim,imbim,mib,0.8884298801422119,0.8270495533943176
clinical effectiveness,clinical and health effectiveness,clinical health science,0.9130293130874634,0.7903687357902527
amsterdam umc location vumc,amsterdam umc location amc,kuleuven,0.9448455572128296,0.7127846479415894
bio-informatics,bioinformatics,bioinformatics and biosciences,0.9892411231994629,0.9592176675796509
communications address,communication address,communication departement,0.9847861528396606,0.8446897268295288
persian language,persian language and literature,foregin languages,0.8870264291763306,0.8335946798324585
private security,corporate security,internal security,0.7859172821044922,0.7870688438415527
national center for space studies,national center for scientific research,national space science center,0.7681243419647217,0.9462504982948303
computo,computacion and it,interactive computing,0.887342095375061,0.867354154586792
virtual engineering,computer aided engineering,engineering and computer graphics,0.8328822255134583,0.8009055256843567
health services management & organisation hsmo,management in healthcare,health service management,0.8266494274139404,0.8682031631469727
rtd,crtd,dtr,0.8063174486160278,0.7787271738052368
discovery biology,new biology,biological science research,0.8697415590286255,0.8151311874389648
factor inwentash social work,factor-inwentash social work,social works,0.9430593252182007,0.8674418926239014
aeronautics & astronautics,aeronautics and astronautics,aeronautical and space engineering,0.9967489242553711,0.8780829310417175
is department,of department,tcm department,0.9504518508911133,0.8644225597381592
pharmacy and pharmaceutical science,pharmacy and pharmaceutical sciences,pharmacy - drug sciences,0.9848130345344543,0.9703056812286377
christ church,church,christian ministries,0.9122345447540283,0.8693936467170715
technical school,technical high school,technical vocational education,0.9309389591217041,0.8889190554618835
ibg-1,ibg-2,ibls,0.9219774007797241,0.8013650178909302
danish meteorological institute,danish technological institute,finnish meteorological institute,0.7947444915771484,0.8166404962539673
pharmaceutical chemistry & analysis,pharmaceutical chemistry and analysis,pharmaceutical analysis and medicinal chemistry,0.9975192546844482,0.9723538756370544
"civil engineering, geo and environmental sciences",civil engineering and environmental sciences,civil & environmental engineering & earth sciences,0.9651126861572266,0.9572979211807251
suerc,upe,erc,0.8517739772796631,0.8577120304107666
comprehensive cancer centre,comprehensive cancer center,"advanced centre for treatment, research and education in cancer",0.9921913743019104,0.8108150362968445
information systems and business analytics,business analytics and information systems,business informatics and operations management,0.9880396723747253,0.9131084680557251
commercial engineering school,engineering and business school,builders engineering school,0.8772476315498352,0.8422884941101074
classics & ancient history,classics and ancient history,"history, art history and classics",0.9965496063232422,0.8817832469940186
softserve,softserve united states,soft condensed matter,0.835132360458374,0.6701885461807251
escola superior de saúde de beja,escola superior de saúde de leiria,escola superior de ciências da saúde,0.8963914513587952,0.8362652063369751
eseba,eba,disteba,0.8851079344749451,0.8917946815490723
hospital são vicente de paulo,hospital são paulo,hospital san vicente de paul,0.8956758379936218,0.8859748840332031
tema genus,tema,caos,0.81195068359375,0.7758821845054626
european global studies,european studies,european and international studies,0.9220861196517944,0.9470758438110352
medicine for older people,medicine for elderly,medicine and geriatrics,0.9820003509521484,0.8677806854248047
paediatric and preventive dentistry,pediatric and preventive dentistry,clinical and preventive dentistry,0.9811837077140808,0.9447302222251892
"internal medicine, division of infectious diseases","division of infectious diseases, internal medicine","division of immunology, immunity to infection and respiratory medicine",0.9639955759048462,0.8794381022453308
drugs and medicines department,pharmaceutical department,pharmaceutics department,0.8960858583450317,0.8735973238945007
audiovisual and multimedia,audiovisual,audiovisual and interactive media communication,0.9442610144615173,0.9265806674957275
vocational justice,justice,social justice,0.8168596029281616,0.8733618259429932
society and genetics,human genetics,tata genetics and society,0.8287696838378906,0.8126083612442017
family physician,family doctor,general practice and family medicine,0.9653419256210327,0.8284050226211548
science and research branch,science branch,scientific and research department,0.9480524659156799,0.890973687171936
luxury,hospitality,jewelry,0.6536769866943359,0.6595195531845093
german language and literature i,german language and literature,germanic languages and literatures,0.9945473670959473,0.9586919546127319
academy of arts and design,academy of arts & design,academy of architecture and arts,0.9976912140846252,0.9201036691665649
agricultural school jundiaí,jundiaí medical school,higher agricultural school,0.8235368132591248,0.7107639312744141
centre for social medicine and community health,centre of social medicine and community health,centre for health and social practice,0.9947808980941772,0.9361758828163147
clinical trials center,clinical trial center,centre for trials research,0.986139178276062,0.9307291507720947
social genetic and developmental psychiatry centre,"social, genetic & developmental psychiatry centre",center for psychiatric neuroscience,0.9844220876693726,0.8292673826217651
diabetes complications and metabolism,diabetes and metabolism,"diabetes, metabolism and endocrinology",0.9573180079460144,0.9270238280296326
centro cultural colombo americano,american colombo center,latin american cultural studies center,0.8230314254760742,0.7726110219955444
sunarp,retina,solar,0.5456920266151428,0.7947679162025452
cdib,cdi,cbh,0.890929639339447,0.8581023216247559
chss,hss,fchs,0.9040509462356567,0.8879038095474243
hevesy györgy phd chemistry,károly ihrig doctoral management and business,eduard zintl inorganic and physical chemistry,0.6551845073699951,0.6882609724998474
"geography, environment, and geomatics","geography, environment and geomatics","geography, geology, and environment",0.9969189167022705,0.9728075861930847
pythagoras londrina,pythagoras,lyrasis,0.8341636657714844,0.7354615926742554
international business program,international business school,international business development,0.8234380483627319,0.8352957963943481
hubrecht developmental biology and stem cell research,roessingh research and development,developmental & stem cell biology,0.7659296989440918,0.7930362224578857
renewable energy engineering,sustainable and renewable energy engineering,sustainable energy and environmental engineering,0.9475215673446655,0.8786271214485168
biocomplexity institute,bioinformatics institute,biological institute,0.8231968879699707,0.820090115070343
china communications construction company china,china telecom china,hpi in chinese,0.8786901235580444,0.7203154563903809
"educational technology, education",education and technology,education and learning technology,0.9779780507087708,0.9657993912696838
audiovisual communication and advertising ii,audiovisual communication and advertising i,audiovisual and interactive media communication,0.9580204486846924,0.8295489549636841
instituto superior de entre douro e vouga,instituto superior de ciências educativas do douro,instituição de ensino superior,0.8625682592391968,0.8337886929512024
mental and physical health and preventive medicine,preventive medicine and public health,preventive health,0.8718949556350708,0.8996404409408569
laboratoire lorrain de recherche en informatique et ses applications,laboratoire d'informatique pour la mécanique et les sciences de l'ingénieur,institut national des sciences appliquées et de technologie,0.8641430139541626,0.7284796237945557
physical optics,optics,optometry and visual science,0.887825608253479,0.8655300140380859
communications and networking,communication and networking,networking and communication,0.98689204454422,0.9662033319473267
chemical physics and optics,chemistry and physics,molecular and chemical physics,0.9046773910522461,0.9020405411720276
behavior,human behavior,humanities and behavioral,0.8869568109512329,0.7620646953582764
aerospace research centre,aerospace research center,aerospace research institute,0.9896367788314819,0.9065964221954346
dbbs,dbb,dtbs,0.9305403232574463,0.893093466758728
educatio,educatin,educimat,0.9607564210891724,0.9694088101387024
local governance,local government,public administration and local self-government,0.9196470379829407,0.8877950310707092
medicine and general surgery,general medicine and surgery,medicine / surgery,0.9797458052635193,0.9531422853469849
portuguese psychology and other sciences,portuguese studies,hispanic and portuguese studies,0.8154835104942322,0.8241175413131714
hydraulic research,hydraulic research institute,hydraulic science and engineering,0.9004384279251099,0.8907941579818726
chemical & biochemical engineering,chemical and biochemical engineering,chemical engineering and industrial chemistry,0.9961332082748413,0.9498890042304993
monash centre for electron microscopy,centre for microscopy and microanalysis,national center for electron microscopy,0.7925939559936523,0.8470369577407837
maternal and child,mother and child,manipal nursing,0.9400960206985474,0.7034745216369629
embrapa national center for environmental research,environmental research center,national environmental research,0.8545376062393188,0.8490040302276611
commerce and managment,commerce and management,commerce & financial management,0.9865292310714722,0.9323606491088867
oceanography and environment,oceanography and ecology,environmental oceanography,0.9457550048828125,0.9682565927505493
"occupational, social and environmental medicine",medicine and health sciences,occupational and environmental medicine,0.8370479345321655,0.9394922256469727
pure and applied zoology,applied zoology,integrative zoology,0.8246572017669678,0.7741869688034058
idmit,dese,uirsmit,0.752886176109314,0.8587209582328796
natural and formal sciences,natural and applied sciences,natural sciences and iml,0.9131808280944824,0.9281677007675171
sbcs,bsc,cbmn,0.8615056872367859,0.8381981253623962
phillips academy,phillips exeter academy,academy of pharmacy,0.866406261920929,0.6856201887130737
economic entomology and pesticides,economic entomology,agricultural entomology,0.878605842590332,0.7898530960083008
colombian family subsidy fund colsubsidio,colombian family welfare institute,costa rican social security fund,0.8210173845291138,0.6589193344116211
csail,nautical,etsea,0.796386182308197,0.7397945523262024
bioscience and bioengineering,bioscience & bioengineering,bio-engineering sciences,0.9971290826797485,0.9655011892318726
dpd,pmd,dppd,0.8930622935295105,0.8167566061019897
civil and environmental engineering department,civil & environmental engineering department,,0.9974682927131653,
people and management,management personnel,"management,",0.9454110264778137,0.9145075082778931
"science, zoology","zoology, science",biological sciences zoology,0.9568238258361816,0.9438865184783936
post graduate program,post graduate studies program,postgraduate area,0.9807045459747314,0.9180052280426025
electronics and control,electrical and control,mechatronics and control,0.9512647986412048,0.9539052248001099
national bureau of agriculturally important microorganisms,national bureau of plant genetic resources,national agrobiological sciences,0.794790506362915,0.785982608795166
"medicine, immunology",medicine/immunology,molecular and clinical immunology,0.9730092287063599,0.9063197374343872
applied theatre,theatre arts,theater arts,0.8617948293685913,0.8577006459236145
credit suisse,bnp paribas,peruvian credit bank,0.6752322912216187,0.6961807012557983
sciences education,sciences of education,sciences and education,0.9629971981048584,0.9723397493362427
serviço nacional de aprendizagem industrial,serviço nacional de aprendizagem industrial - senai,servicio nacional de adiestramiento en trabajo industrial,0.9275691509246826,0.8786121606826782
colloid chemistry,physical and colloid chemistry,"organic chemistry, chemistry",0.9212291240692139,0.8731976747512817
paris observatory - meudon site,paris observatory,leiden observatory,0.8944995403289795,0.6869576573371887
ppcte,ppgect,ppd,0.911372184753418,0.8674020767211914
behavioral and movement sciences,behavioural and movement sciences,"neuroscience, biomedic and movement",0.9798823595046997,0.864035427570343
"brazilian education, development and research idp","brazilian education, development and research",portuguese and brazilian studies,0.9591771364212036,0.79128098487854
hospital de clínicas josé de san martín,san juan de dios hospital,hospital san josé,0.8411538600921631,0.9195507168769836
laboratory of molecular biology and endocrinology,laboratory of molecular biology,laboratory of molecular biology and immunology,0.9097142219543457,0.9047435522079468
agricultural information technology,agriculture and technology,agricultural industry technology,0.910590410232544,0.9061669111251831
theology and ethics,moral theology,theologia,0.913227915763855,0.854607105255127
future kolleg,colleg,collegiate education,0.8054145574569702,0.808395266532898
marketing division,marketing department,business organization and marketing,0.9004924297332764,0.7882531881332397
teaching pro-rector,instructor,teaching vice -rector,0.8117572069168091,0.8317088484764099
television school,television,tv production,0.756543755531311,0.7467892169952393
chemical science,chemical sciences,chemical engineering sciences,0.971043586730957,0.9248985052108765
plantation management,plantation,plant health management,0.8768028020858765,0.8884761333465576
he,heu,iihe,0.8769252300262451,0.8798584938049316
science office,science and engineering office,scientific office,0.9259137511253357,0.9483332633972168
"mathematics, physics and astronomy","mathematics, astronomy and physics","mathematics, physics and natural sciences",0.9992446899414062,0.9332228302955627
national statistics,social statistics,national statistics and informatics,0.8309587240219116,0.9376883506774902
"developmental, molecular and chemical biology",developmental and molecular biology,biochemistry and developmental biology,0.9731836318969727,0.9451625943183899
"biology, chemistry and geography","biology, geography and chemistry",biology and geology,0.9975720643997192,0.918549656867981
"agricultural communication, education, and leadership","agricultural leadership, education, and communication","education, agriculture and environment",0.9926616549491882,0.798818051815033
division of sleep medicine,"division of pulmonary, critical care and sleep medicine",respiratory and sleep medicine,0.8046834468841553,0.7592474222183228
stanford law school,stanford graduate business,bucerius law school,0.7767626643180847,0.7571212649345398
research support office,research office,research outreach department,0.9145444631576538,0.7866147756576538
social studies and communications,social sciences and communication,media & communication studies,0.9291999340057373,0.910567045211792
ecology and environmental management,ecology and sustainable environmental management,ecology management,0.9800836443901062,0.956441342830658
ccs-6: statistical sciences,statistical sciences,csedata science,0.7892234921455383,0.7675802707672119
site,ite,isds,0.7776833176612854,0.7254945635795593
learning technologies,learning technology,education and learning technology,0.9762258529663086,0.9195324182510376
graduate institute,graduate education institute,ust graduate school,0.9830782413482666,0.8795427083969116
m.b.a,m.b.b.s,mbchb,0.9593609571456909,0.8233859539031982
industrial education,industrial education and technology,industrial and technology education,0.927627444267273,0.9239245653152466
biodiversity and molecular ecology,biodiversity and evolutionary biology,"biodiversity, ecology and evolution",0.9235190749168396,0.9373003244400024
state key laboratory of multiphase complex systems,state key laboratory of management and control for complex systems,,0.8961131572723389,
full degree in mathematics,degree in mathematics,graduate mathematics,0.8813545107841492,0.8083586692810059
wbk production science,manufacturing science,research and production,0.785885214805603,0.7933439016342163
nasa langley research center,langley research center,l3s research center,0.8628478050231934,0.7695335149765015
oncology biomarker development,investigational cancer therapeutics,firc molecular oncology,0.8435718417167664,0.8228210210800171
gestión social y desarrollo,desarrollo social,gestión pública y desarrollo social,0.9200907945632935,0.9319308996200562
center for data science,centre for data science,research center for data and information sciences,0.9783665537834167,0.9229575395584106
rabin medical center,meir medical center,medical centre,0.8261581063270569,0.7747879028320312
private dental practice,private dental clinic,dentistry and dental surgery,0.9374866485595703,0.8160401582717896
project board,production engineering board,project control,0.798671305179596,0.6882908344268799
centre for mental health,center for mental health,national center for mental health,0.9776397943496704,0.8881668448448181
soil and water conservation science and engineering,soil and water science,soil and water conservation engineering,0.8882558345794678,0.955419659614563
profissional liberal,liberal studies,program of liberal studies,0.8068822622299194,0.743632435798645
landscape and plant ecology,landscape ecology,landscape and horticulture,0.9437675476074219,0.8928987383842468
computational statistics,statistical computing,informatics and statistics,0.9366570711135864,0.9023466110229492
"sociology, anthropology, and criminal justice","sociology, anthropology and criminal justice",sociology & social anthropology,0.9974079132080078,0.8909757137298584
allen brain science,allen neural dynamics,translational brain research,0.8392894864082336,0.8269234895706177
cirugía de tórax y cardiovascular,cirugía cardiovascular,servicio de cirugía general y digestiva,0.8890262842178345,0.7325212955474854
oncology unit,medical oncology unit,oncology pathology,0.9710118770599365,0.8416199684143066
pathology and laboratories,pathology and laboratory,pathology laboratory techniques,0.983933687210083,0.9420112371444702
"arts, technology, and emerging communication","communication, culture, and technology","arts, media and technology",0.9024509191513062,0.9109359979629517
énergie matériaux télécommunications research centre,,research center for electrical power and mechatronics,,0.8043917417526245
warwick clinical trials unit,clinical trial unit,clinical trial center,0.8285540342330933,0.724000096321106
1st obstetrics and gynecology,obstetrics and gynecology №1,gynecology & obstetrics,0.9297441840171814,0.889046311378479
cerfead,cerag,cermn,0.7859870195388794,0.8442816734313965
japan international research center for agricultural sciences,international research center for japanese studies,national agricultural research centre,0.8457476496696472,0.7466132640838623
statistics division,statistics unit,it department and statistics,0.9156359434127808,0.8378463983535767
fadir,law - fadir,irif,0.8061309456825256,0.7734616994857788
"pulmonary, critical care, and sleep medicine","pulmonary, critical care and sleep medicine",respiratory and critical medicine,0.9970132112503052,0.8903775215148926
material science & technology,material science and technology,empa materials science and technology,0.9970722198486328,0.9568284749984741
microbiology & parasitology,microbiology and parasitology,"microbiology, parasitology and immunology",0.9975011944770813,0.9593315124511719
biology iii,biology ii,"biology,",0.9410655498504639,0.8717265725135803
functional genomics,functional and comparative genomics,,0.9584307670593262,
public health program,public health programs,public health and health care,0.9734046459197998,0.9061663746833801
magister pharmacy,master of pharmacy,deparment of pharmacy,0.8581935167312622,0.8310601711273193
roosevelt children&#39;s orthopedic institute,roosevelt hospital,children's medical research institute,0.7712746262550354,0.7156697511672974
microbiology & cell science,microbiology and cell science,microbial and cellular sciences,0.9979242086410522,0.9609702825546265
psychopedagogical,psychopedagogy,special psychopedagogy,0.9727845191955566,0.9028740525245667
commercial law,civil and commercial law,anu law,0.9144206047058105,0.7833652496337891
chemistry technician,chemical engineer,chemistry and chemical engineer,0.8791273236274719,0.900696337223053
french section,french language,french language ufr,0.9116815328598022,0.8973444700241089
academic support,academic support department,teaching and educational research,0.8958317637443542,0.7893579006195068
materials and manufacturing directorate,manufacturing department,division of materials and manufacturing science,0.833946704864502,0.8390781879425049
medical mycology,medical parasitology and mycology,"medical microbiology, immunology and parasitology",0.9257846474647522,0.8882876634597778
